<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ВТБ ао;1;01.09.2021;11:57:00;0,052575;0,052595;0,05251;0,05251;20361;0
ВТБ ао;1;01.09.2021;11:58:00;0,05252;0,05255;0,052495;0,05252;24569;0
ВТБ ао;1;01.09.2021;11:59:00;0,052525;0,05254;0,052505;0,05251;5357;0
ВТБ ао;1;01.09.2021;12:00:00;0,0525;0,05253;0,052455;0,052485;10946;0
ВТБ ао;1;01.09.2021;12:01:00;0,052485;0,05255;0,052485;0,05255;1839;0
ВТБ ао;1;01.09.2021;12:02:00;0,052555;0,05258;0,052555;0,05258;1532;0
ВТБ ао;1;01.09.2021;12:03:00;0,052575;0,052595;0,052555;0,05257;2562;0
ВТБ ао;1;01.09.2021;12:04:00;0,052555;0,05258;0,052545;0,052575;514;0
ВТБ ао;1;01.09.2021;12:05:00;0,05258;0,052595;0,05258;0,052595;879;0
ВТБ ао;1;01.09.2021;12:06:00;0,052585;0,05263;0,05257;0,05263;13897;0
ВТБ ао;1;01.09.2021;12:07:00;0,052625;0,052625;0,05258;0,052585;2908;0
