<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ГМКНорНик;D;20/04/21;000000;25202;347344
ГМКНорНик;D;21/04/21;000000;25308;299617
ГМКНорНик;D;22/04/21;000000;25690;478523
ГМКНорНик;D;23/04/21;000000;25770;321638
ГМКНорНик;D;26/04/21;000000;26444;432685
ГМКНорНик;D;27/04/21;000000;26952;953978
ГМКНорНик;D;28/04/21;000000;26326;605894
ГМКНорНик;D;29/04/21;000000;26334;332875
ГМКНорНик;D;30/04/21;000000;25732;470031
ГМКНорНик;D;04/05/21;000000;26202;319208
ГМКНорНик;D;05/05/21;000000;26646;242275
ГМКНорНик;D;06/05/21;000000;26824;284179
ГМКНорНик;D;07/05/21;000000;27000;292769
ГМКНорНик;D;10/05/21;000000;27046;238636
ГМКНорНик;D;11/05/21;000000;27338;338030
ГМКНорНик;D;12/05/21;000000;27266;304199
ГМКНорНик;D;13/05/21;000000;27388;314425
ГМКНорНик;D;14/05/21;000000;27390;166036
ГМКНорНик;D;17/05/21;000000;27352;221781
ГМКНорНик;D;18/05/21;000000;27352;189074
ГМКНорНик;D;19/05/21;000000;27110;310746
ГМКНорНик;D;20/05/21;000000;27156;175291
ГМКНорНик;D;21/05/21;000000;27064;179407
ГМКНорНик;D;24/05/21;000000;26982;197803
ГМКНорНик;D;25/05/21;000000;26730;271163
ГМКНорНик;D;26/05/21;000000;26986;222691
ГМКНорНик;D;27/05/21;000000;26994;375453
ГМКНорНик;D;28/05/21;000000;27134;355211
ГМКНорНик;D;31/05/21;000000;26404;257224
ГМКНорНик;D;01/06/21;000000;26750;198936
ГМКНорНик;D;02/06/21;000000;26944;185952
ГМКНорНик;D;03/06/21;000000;26630;249236
ГМКНорНик;D;04/06/21;000000;26400;218620
ГМКНорНик;D;07/06/21;000000;26246;188756
ГМКНорНик;D;08/06/21;000000;26072;208488
ГМКНорНик;D;09/06/21;000000;26502;259612
ГМКНорНик;D;10/06/21;000000;26192;172210
ГМКНорНик;D;11/06/21;000000;26178;148672
ГМКНорНик;D;14/06/21;000000;26314;95555
ГМКНорНик;D;15/06/21;000000;26054;136476
ГМКНорНик;D;16/06/21;000000;25664;282828
ГМКНорНик;D;17/06/21;000000;24970;530860
ГМКНорНик;D;18/06/21;000000;25000;370346
ГМКНорНик;D;21/06/21;000000;25372;252143
ГМКНорНик;D;22/06/21;000000;25078;211658
ГМКНорНик;D;23/06/21;000000;25336;260549
ГМКНорНик;D;24/06/21;000000;24358;690867
ГМКНорНик;D;25/06/21;000000;24734;231782
ГМКНорНик;D;28/06/21;000000;24948;172389
ГМКНорНик;D;29/06/21;000000;24702;216145
ГМКНорНик;D;30/06/21;000000;24812;260692
ГМКНорНик;D;01/07/21;000000;24612;175388
ЛУКОЙЛ;D;30/06/20;000000;5313;918107
ЛУКОЙЛ;D;02/07/20;000000;5416;1035932
ЛУКОЙЛ;D;03/07/20;000000;5416.5;481273
ЛУКОЙЛ;D;06/07/20;000000;5483.5;1127200
ЛУКОЙЛ;D;07/07/20;000000;5464;1013493
ЛУКОЙЛ;D;08/07/20;000000;5457;1425218
ЛУКОЙЛ;D;09/07/20;000000;5087;1707338
ЛУКОЙЛ;D;10/07/20;000000;5098;1016953
ЛУКОЙЛ;D;13/07/20;000000;4926.5;1215943
ЛУКОЙЛ;D;14/07/20;000000;4884;2045003
ЛУКОЙЛ;D;15/07/20;000000;4949.5;2058939
ЛУКОЙЛ;D;16/07/20;000000;4944.5;795472
ЛУКОЙЛ;D;17/07/20;000000;4946.5;558511
ЛУКОЙЛ;D;20/07/20;000000;4937;852694
ЛУКОЙЛ;D;21/07/20;000000;4953;1544015
ЛУКОЙЛ;D;22/07/20;000000;5037;1301767
ЛУКОЙЛ;D;23/07/20;000000;4974;1037388
ЛУКОЙЛ;D;24/07/20;000000;4987;1137981
ЛУКОЙЛ;D;27/07/20;000000;5013.5;962018
ЛУКОЙЛ;D;28/07/20;000000;5023;1101369
ЛУКОЙЛ;D;29/07/20;000000;5184.5;1821741
ЛУКОЙЛ;D;30/07/20;000000;5115;1138124
ЛУКОЙЛ;D;31/07/20;000000;5087.5;863152
ЛУКОЙЛ;D;03/08/20;000000;5037;827349
ЛУКОЙЛ;D;04/08/20;000000;5038.5;781024
ЛУКОЙЛ;D;05/08/20;000000;5136;1200589
ЛУКОЙЛ;D;06/08/20;000000;5130;882244
ЛУКОЙЛ;D;07/08/20;000000;5088;555614
ЛУКОЙЛ;D;10/08/20;000000;5112;649398
ЛУКОЙЛ;D;11/08/20;000000;5170;1302635
ЛУКОЙЛ;D;12/08/20;000000;5303;1089062
ЛУКОЙЛ;D;13/08/20;000000;5312;1023846
ЛУКОЙЛ;D;14/08/20;000000;5284.5;716916
ЛУКОЙЛ;D;17/08/20;000000;5281.5;678496
ЛУКОЙЛ;D;18/08/20;000000;5268.5;708172
ЛУКОЙЛ;D;19/08/20;000000;5246.5;629903
ЛУКОЙЛ;D;20/08/20;000000;5137.5;1222612
ЛУКОЙЛ;D;21/08/20;000000;5092.5;1040443
ЛУКОЙЛ;D;24/08/20;000000;5186;880228
ЛУКОЙЛ;D;25/08/20;000000;5220;972995
ЛУКОЙЛ;D;26/08/20;000000;5278;796121
ЛУКОЙЛ;D;27/08/20;000000;5174;1030676
ЛУКОЙЛ;D;28/08/20;000000;5082;777889
ЛУКОЙЛ;D;31/08/20;000000;4991;1417013
ЛУКОЙЛ;D;01/09/20;000000;4949;1287005
ЛУКОЙЛ;D;02/09/20;000000;4852;1545931
ЛУКОЙЛ;D;03/09/20;000000;4814;1514280
ЛУКОЙЛ;D;04/09/20;000000;4858;964480
ЛУКОЙЛ;D;07/09/20;000000;4795;647618
ЛУКОЙЛ;D;08/09/20;000000;4719.5;1302271
ЛУКОЙЛ;D;09/09/20;000000;4709;1082040
ЛУКОЙЛ;D;10/09/20;000000;4661;1072846
ЛУКОЙЛ;D;11/09/20;000000;4725.5;822491
ЛУКОЙЛ;D;14/09/20;000000;4752.5;946469
ЛУКОЙЛ;D;15/09/20;000000;4876;1499032
ЛУКОЙЛ;D;16/09/20;000000;4863.5;1354314
ЛУКОЙЛ;D;17/09/20;000000;4793.5;1540812
ЛУКОЙЛ;D;18/09/20;000000;4677;2915521
