<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
БСП ао;W;28/11/16;000000;55,95;937980
БСП ао;W;05/12/16;000000;61,8;1330470
БСП ао;W;12/12/16;000000;67;1118320
БСП ао;W;19/12/16;000000;65;631980
БСП ао;W;26/12/16;000000;66,8;275210
БСП ао;W;02/01/17;000000;68,95;197520
БСП ао;W;09/01/17;000000;74,7;573690
БСП ао;W;16/01/17;000000;70,35;1023830
БСП ао;W;23/01/17;000000;74,85;489500
БСП ао;W;30/01/17;000000;74,65;421840
БСП ао;W;06/02/17;000000;71,9;541190
БСП ао;W;13/02/17;000000;70,95;739810
БСП ао;W;20/02/17;000000;67,75;548630
БСП ао;W;27/02/17;000000;63,65;661220
БСП ао;W;06/03/17;000000;59,4;829550
БСП ао;W;13/03/17;000000;60,8;1233710
БСП ао;W;20/03/17;000000;66,9;525190
БСП ао;W;27/03/17;000000;60,85;657330
БСП ао;W;03/04/17;000000;61,7;885850
БСП ао;W;10/04/17;000000;58,85;1193300
БСП ао;W;17/04/17;000000;60,35;815820
БСП ао;W;24/04/17;000000;63,35;2116230
БСП ао;W;01/05/17;000000;62;261040
БСП ао;W;08/05/17;000000;63,9;319620
БСП ао;W;15/05/17;000000;61,25;588030
БСП ао;W;22/05/17;000000;61,95;636820
БСП ао;W;29/05/17;000000;60,55;442000
БСП ао;W;05/06/17;000000;59;180770
БСП ао;W;12/06/17;000000;58;332440
БСП ао;W;19/06/17;000000;57,4;253480
БСП ао;W;26/06/17;000000;57,4;593380
БСП ао;W;03/07/17;000000;59,9;1105410
БСП ао;W;10/07/17;000000;61,45;634800
БСП ао;W;17/07/17;000000;59,05;469340
БСП ао;W;24/07/17;000000;55,95;1238740
БСП ао;W;31/07/17;000000;58,3;1033610
БСП ао;W;07/08/17;000000;56,15;1272830
БСП ао;W;14/08/17;000000;56,05;1122710
БСП ао;W;21/08/17;000000;55,65;705100
БСП ао;W;28/08/17;000000;58,7;2622810
БСП ао;W;04/09/17;000000;55,8;1068700
БСП ао;W;11/09/17;000000;55,75;1338630
БСП ао;W;18/09/17;000000;55,65;1305100
БСП ао;W;25/09/17;000000;55,65;602770
БСП ао;W;02/10/17;000000;54,75;1058040
БСП ао;W;09/10/17;000000;54,75;712980
БСП ао;W;16/10/17;000000;54,3;575160
БСП ао;W;23/10/17;000000;53,5;450430
БСП ао;W;30/10/17;000000;54,35;496160
БСП ао;W;06/11/17;000000;55,15;964150
БСП ао;W;13/11/17;000000;53,1;820030
БСП ао;W;20/11/17;000000;52,1;461770
БСП ао;W;27/11/17;000000;56,55;2120670
БСП ао;W;04/12/17;000000;55,2;734200
БСП ао;W;11/12/17;000000;55,5;385000
БСП ао;W;18/12/17;000000;54,6;734390
БСП ао;W;25/12/17;000000;54,35;662310
БСП ао;W;01/01/18;000000;55;266410
БСП ао;W;08/01/18;000000;58,35;1952790
БСП ао;W;15/01/18;000000;59,95;2195610
БСП ао;W;22/01/18;000000;59,9;1367750
БСП ао;W;29/01/18;000000;58,6;1964570
БСП ао;W;05/02/18;000000;57,35;870330
БСП ао;W;12/02/18;000000;57,35;777230
БСП ао;W;19/02/18;000000;60;814840
БСП ао;W;26/02/18;000000;58,8;1153230
БСП ао;W;05/03/18;000000;58,55;192410
БСП ао;W;12/03/18;000000;58,15;1164310
БСП ао;W;19/03/18;000000;57;744820
БСП ао;W;26/03/18;000000;54,5;1164570
БСП ао;W;02/04/18;000000;53,95;662800
БСП ао;W;09/04/18;000000;49,1;1095530
БСП ао;W;16/04/18;000000;51,75;1711430
БСП ао;W;23/04/18;000000;50,9;990700
БСП ао;W;30/04/18;000000;51;337980
БСП ао;W;07/05/18;000000;51,1;860060
БСП ао;W;14/05/18;000000;53,7;1590410
БСП ао;W;21/05/18;000000;51,7;988330
БСП ао;W;28/05/18;000000;50,7;1436630
БСП ао;W;04/06/18;000000;50,7;668130
БСП ао;W;11/06/18;000000;50;150790
БСП ао;W;18/06/18;000000;49,9;1495960
БСП ао;W;25/06/18;000000;50,1;420730
БСП ао;W;02/07/18;000000;50,1;690230
БСП ао;W;09/07/18;000000;50,1;388680
БСП ао;W;16/07/18;000000;48,5;501990
БСП ао;W;23/07/18;000000;49;366350
БСП ао;W;30/07/18;000000;52,05;1260140
БСП ао;W;06/08/18;000000;48,75;1101420
БСП ао;W;13/08/18;000000;47;858730
БСП ао;W;20/08/18;000000;45,9;493540
БСП ао;W;27/08/18;000000;46,05;1440570
БСП ао;W;03/09/18;000000;47;1646400
БСП ао;W;10/09/18;000000;50,45;1136180
БСП ао;W;17/09/18;000000;49,75;548030
БСП ао;W;24/09/18;000000;50,2;538530
БСП ао;W;01/10/18;000000;50,4;417010
БСП ао;W;08/10/18;000000;50,5;289650
БСП ао;W;15/10/18;000000;47,9;675480
БСП ао;W;22/10/18;000000;49,3;595650
БСП ао;W;29/10/18;000000;50,2;260680
БСП ао;W;05/11/18;000000;49,94;588840
БСП ао;W;12/11/18;000000;48,2;402120
БСП ао;W;19/11/18;000000;47,5;147770
БСП ао;W;26/11/18;000000;49,3;1743420
БСП ао;W;03/12/18;000000;49,3;420430
БСП ао;W;10/12/18;000000;46,98;653150
БСП ао;W;17/12/18;000000;45,34;471750
БСП ао;W;24/12/18;000000;44,28;752190
Возрожд-ао;W;05/01/15;000000;413;598
Возрожд-ао;W;12/01/15;000000;380;6948
Возрожд-ао;W;19/01/15;000000;371;5389
Возрожд-ао;W;26/01/15;000000;366;14598
Возрожд-ао;W;02/02/15;000000;370;9879
Возрожд-ао;W;09/02/15;000000;364;22355
Возрожд-ао;W;16/02/15;000000;404;62418
Возрожд-ао;W;23/02/15;000000;400;13800
Возрожд-ао;W;02/03/15;000000;430;27983
Возрожд-ао;W;09/03/15;000000;428;15622
Возрожд-ао;W;16/03/15;000000;415;6673
Возрожд-ао;W;23/03/15;000000;429;242331
Возрожд-ао;W;30/03/15;000000;425;5456
Возрожд-ао;W;06/04/15;000000;424;1790
Возрожд-ао;W;13/04/15;000000;421;2879
Возрожд-ао;W;20/04/15;000000;416;1764
Возрожд-ао;W;27/04/15;000000;405;2406
Возрожд-ао;W;04/05/15;000000;410;449
Возрожд-ао;W;11/05/15;000000;400;475
Возрожд-ао;W;18/05/15;000000;394;815
Возрожд-ао;W;25/05/15;000000;428;80582
Возрожд-ао;W;01/06/15;000000;442;68317
Возрожд-ао;W;08/06/15;000000;424;4650
Возрожд-ао;W;15/06/15;000000;423;21434
Возрожд-ао;W;22/06/15;000000;463;45469
Возрожд-ао;W;29/06/15;000000;516;62562
Возрожд-ао;W;06/07/15;000000;545;1264522
Возрожд-ао;W;13/07/15;000000;550;70551
Возрожд-ао;W;20/07/15;000000;570;26924
Возрожд-ао;W;27/07/15;000000;561;5060
Возрожд-ао;W;03/08/15;000000;530;3889
Возрожд-ао;W;10/08/15;000000;530;13358
Возрожд-ао;W;17/08/15;000000;528;9201
Возрожд-ао;W;24/08/15;000000;510;10037
Возрожд-ао;W;31/08/15;000000;550;34506
Возрожд-ао;W;07/09/15;000000;610;28834
Возрожд-ао;W;14/09/15;000000;598;7684
Возрожд-ао;W;21/09/15;000000;597;8882
Возрожд-ао;W;28/09/15;000000;599;8080
Возрожд-ао;W;05/10/15;000000;598;2337
Возрожд-ао;W;12/10/15;000000;593;4175
Возрожд-ао;W;19/10/15;000000;614;4288
Возрожд-ао;W;26/10/15;000000;610;6595
Возрожд-ао;W;02/11/15;000000;605;197
Возрожд-ао;W;09/11/15;000000;599;56261
Возрожд-ао;W;16/11/15;000000;604;5212
Возрожд-ао;W;23/11/15;000000;612;6471
Возрожд-ао;W;30/11/15;000000;620;2522
Возрожд-ао;W;07/12/15;000000;602;2842
Возрожд-ао;W;14/12/15;000000;615;4220
Возрожд-ао;W;21/12/15;000000;608;11914
Возрожд-ао;W;28/12/15;000000;606;12120
Возрожд-ао;W;04/01/16;000000;606;2744
Возрожд-ао;W;11/01/16;000000;518;11971
Возрожд-ао;W;18/01/16;000000;518;6102
Возрожд-ао;W;25/01/16;000000;517;2139
Возрожд-ао;W;01/02/16;000000;520;4896
Возрожд-ао;W;08/02/16;000000;521;4111
Возрожд-ао;W;15/02/16;000000;520;3034
Возрожд-ао;W;22/02/16;000000;521;5043
Возрожд-ао;W;29/02/16;000000;521;23008
Возрожд-ао;W;07/03/16;000000;526;17060
Возрожд-ао;W;14/03/16;000000;525;23077
